route,day,setoff_date,expected_date,stop,avg_min_c,avg_max_c,avg_min_f,avg_max_f,samples
shared,0,2026-04-30,2026-04-30,"Woodland Beach, DE",12.1,20.5,53.8,68.9,10
shared,1,2026-05-01,2026-04-30,"Baltimore, MD",11.5,21.8,52.7,71.2,10
shared,2,2026-05-02,2026-05-01,"Williamsport, MD",10.2,21.3,50.4,70.3,10
shared,3,2026-05-03,2026-05-02,"Cumberland, MD",10.6,23.3,51.1,73.9,10
shared,4,2026-05-04,2026-05-03,"South of Pittsburgh / Perryopolis area, PA",11.2,20.7,52.2,69.3,10
shared,5,2026-05-05,2026-05-04,"Steubenville, OH",11.3,19.0,52.3,66.2,10
shared,6,2026-05-06,2026-05-05,"Millersburg, OH",7.6,17.2,45.7,63.0,10
shared,7,2026-05-07,2026-05-06,"Lilly Chapel / west Columbus, OH",8.1,18.9,46.6,66.0,10
shared,8,2026-05-08,2026-05-07,"Richmond, IN",8.9,19.8,48.0,67.6,10
shared,9,2026-05-09,2026-05-08,"Logansport, IN",6.9,19.4,44.4,66.9,10
shared,10,2026-05-10,2026-05-09,"Chicago Heights, IL",6.9,17.2,44.4,63.0,10
shared,11,2026-05-11,2026-05-10,"Rock Falls, IL",9.7,20.9,49.5,69.6,10
shared,12,2026-05-12,2026-05-11,"Cedar Rapids, IA",9.9,20.0,49.8,68.0,10
shared,13,2026-05-13,2026-05-12,"Ames, IA",10.4,21.1,50.7,70.0,10
shared,14,2026-05-14,2026-05-13,"Denison, IA",10.7,20.7,51.3,69.3,10
mountain,0,2026-04-30,2026-04-30,"Woodland Beach, DE",12.1,20.5,53.8,68.9,10
mountain,1,2026-05-01,2026-04-30,"Baltimore, MD",11.5,21.8,52.7,71.2,10
mountain,2,2026-05-02,2026-05-01,"Williamsport, MD",10.2,21.3,50.4,70.3,10
mountain,3,2026-05-03,2026-05-02,"Cumberland, MD",10.6,23.3,51.1,73.9,10
mountain,4,2026-05-04,2026-05-03,"South of Pittsburgh / Perryopolis area, PA",11.2,20.7,52.2,69.3,10
